Title,URL,Type,Start_date,End_date,Countries,Funding,Funding_source,Funding_information,Partner,PI_institution,Principal_investigator,Partner,Abstract,Objectives,Methodology,Themes
Safety of single low dose primaquine in Senegal,http://www.malariaeradication.org/mesa-track/safety-single-low-dose-primaquine-senegal,Project,Nov-14,Feb-15,Senegal,,"Malaria Capacity Development Consortium (MCDC), UK",,"London School of Hygiene & Tropical Medicine (LSHTM), UCSF Global Health Group  ","Cheikh Anta Diop University, Senegal",Roger Tine,"London School of Hygiene & Tropical Medicine (LSHTM), UCSF Global Health Group  ",,"The use of primaquine, an 8-aminoquinoline, can contribute to interrupt transmission, as this drug can reduce gametocyte carriage of Plasmodium falciparum. WHO recommends the addition of a single low-dose of primaquine (0.25 mg base/kg) to artemisinin combination treatments (ACTs) as a gametocytocidal medicine for P. falciparum, particularly as a component of pre-elimination or elimination programs. However, primaquine has been scarcely used in Africa and there are still concerns about its safety as the drug can cause acute haemolytic anaemia in individuals with G6PD deficiency. Safety studies are thus needed in African countries to guide the implementation of low-dose primaquine. The aim of this study is to assess the safety and the potential benefit of adding primaquine to ACT treatment in Senegal.","Operational research, Product development & clinical research","Drug-based strategies, Tools for elimination"
"Disease burden, risk factors and treatment of knowlesi malaria",http://www.malariaeradication.org/mesa-track/disease-burden-risk-factors-and-treatment-knowlesi-malaria,Project,Jan-14,Dec-15,Malaysia,$70 878,"National Health and Medical Research Council (NHMRC), Australia","AUD 78,412",Ministry of Health (MOH) Malaysia,"Menzies School of Health Research, Australia",Matthew Grigg,Ministry of Health (MOH) Malaysia,"Plasmodium knowlesi is a form of monkey malaria recently found to also cause increasing numbers of natural infections in humans in South-East Asia. This research will describe the burden of P. knowlesi malaria in an area of Malaysian Borneo. The risk factors for acquiring P. knowlesi malaria will be assessed. Finally, the optimal treatment for non-severe cases of P. knowlesi and P. vivax malaria will also be evaluated by comparing the 2 currently recommended anti-malarial medications in Malaysia. 
","The main objective is to estimate the burden from P.vivax and P.knowlesi malaria in children in Sabah, Malaysia.",Epidemiology,
Rapid Access Expansion 2015 programme (RAcE 2015),http://www.malariaeradication.org/mesa-track/rapid-access-expansion-2015-programme-race-2015,Project,Apr-12,Mar-17,"Congo, the Democratic Republic of the, Malawi, Mozambique, Niger, Nigeria",$73 494 404,Government of Canada,,"World Health Organization (WHO), D-Tree, Clinton Health Access Initiative (CHAI) , Medical Care Development International (MCDI), University of Alberta, Grassroots Community Development Initiative (GRACODEV), United Nations Children's Fund (UNICEF), Global Fund to Fight AIDS, Tuberculosis and Malaria (GFATM), Ministry of Health (MOH) Democratic Republic of Congo, Ministry of Health (MOH) Malawi, Ministry of Health (MOH) Mozambique, Ministry of Health (MOH) Niger , Ministry of Health (MOH) Nigeria, Swiss Tropical and Public Health Institute (Swiss TPH) , Karolinska Institute, Boston University, University of Gothenburg ","Save the Children, World Vision, International Rescue Committee, Malaria Consortium, Society for Family Health (SFH)",,"World Health Organization (WHO), D-Tree, Clinton Health Access Initiative (CHAI) , Medical Care Development International (MCDI), University of Alberta, Grassroots Community Development Initiative (GRACODEV), United Nations Children's Fund (UNICEF), Global Fund to Fight AIDS, Tuberculosis and Malaria (GFATM), Ministry of Health (MOH) Democratic Republic of Congo, Ministry of Health (MOH) Malawi, Ministry of Health (MOH) Mozambique, Ministry of Health (MOH) Niger , Ministry of Health (MOH) Nigeria, Swiss Tropical and Public Health Institute (Swiss TPH) , Karolinska Institute, Boston University, University of Gothenburg ",,"To contribute to the reduction of child mortality due to malaria, pneumonia and diarrhoea by increasing access to diagnostic, treatment and referral services for these diseases
To generate evidence to inform WHO policy recommendations and programmatic guidance on iCCM.
",Operational research,"Impact of interventions, Vulnerable populations"
The efficacy of non-pyrethroid insecticide-treated durable wall liners as a method for malaria control in endemic rural Tanzania: cluster randomized trial,https://clinicaltrials.gov/ct2/show/record/NCT02533336?cond=%22Malaria%22,Project,Jul-13,Aug-16,"Tanzania, United Republic of",$1 576 771,President's Malaria Initiative (PMI),,"Centers for Disease Control and Prevention (CDC), USA","National Institute for Medical Research (NIMR), Tanzania, Kilimanjaro Christian Medical University College, Tanzania","Franklin Mosha , William N. Kisinza","Centers for Disease Control and Prevention (CDC), USA","Vector control, together with prompt treatment with an artemisinin-based combination therapy (ACT) for individuals diagnosed with malaria and intermittent preventive treatment in pregnant women, is a critical component of malaria control in Africa. The two main vector control interventions used in Africa are long-lasting insecticidal nets (LLINs) and indoor residual spraying (IRS). LLINs are currently the mainstay of vector control and are believed to have contributed to the recent dramatic decline in malaria cases. However, resistance to the pyrethroid insecticides used in the bed nets has increased. The second main vector control method, IRS, has been an extremely effective adjunct to LLINs; its usefulness is threatened by the high cost of repeated applications and increasing mosquito resistance to insecticides used for spraying.
A new product, durable lining (DL) treated with non-pyrethroid insecticides, has been developed by Vestergaard, which theoretically mimics the effect of IRS but is designed to last for a minimum of three years. The product consists of a mixture of two non-pyrethroid insecticides incorporated into a polymer fabric that are designed to migrate differentially over the lifetime of the product to ensure sustained bioefficacy. The use of two agents may also decrease the risk of development of resistance. It is estimated that the cost of the insecticide treated wall liners (DL), which are installed on the indoor walls of houses, would be equal to 2-3 rounds of IRS.
To test the effectiveness of this new product, we will conduct a two-arm controlled randomized cluster trial to test the hypothesis that DL + LLINs are superior to LLINs alone. Over twelve (12) months (August 2015- Aug 2016), in an area with universal coverage (UC) of LLINs and where artemisinin combination therapies (ACT) are provided as the first-line treatment of malaria, we intend to evaluate the impact of DL on malaria transmission among children ages 6 months to 11 years as measured by the incidence of malaria parasitemia (symptomatic and asymptomatic), and the prevalence of moderate to severe anemia in under-fives. In addition, we will assess the effect of DL on entomological parameters, and measure the acceptability and a cost-effectiveness of the intervention. Stratified randomization based on malaria prevalence during the baseline survey will be used to select 22 clusters per arm in Muheza district.
","The objectives of the study are to evaluate the impact of ITWL and IRS on malaria transmission as measured by the incidence and prevalence of asexual malaria parasitemia, the prevalence of moderate to severe anemia, entomological indices, and cost-effectiveness","Entomology, Operational research","Impact of interventions, Insecticide resistance, Tools for elimination"
Pregnant women and infants as sentinel groups for monitoring impact of interventions to reduce malaria transmission in the general population,http://www.malariaeradication.org/mesa-track/pregnant-women-and-infants-sentinel-groups-monitoring-impact-interventions-reduce-malar-0,Project,Dec-12,Nov-13,"Tanzania, United Republic of",$180 000,President's Malaria Initiative (PMI),,"Centers for Disease Control and Prevention (CDC), USA, United States Agency for International Development (USAID)",RTI international,Jerermiah Ngondi,"Centers for Disease Control and Prevention (CDC), USA, United States Agency for International Development (USAID)",,"The objectives of this study are:
To assess the operational, logistical, and epidemiological feasibility of using specific sentinel populations attending reproductive and child health (RCH) clinics to monitor impact of malaria control; and
To determine acceptability/completeness/timeliness of monthly reporting by two RCH staff using mobile phone-based tools.
","Epidemiology, Operational research","Impact of interventions, Measurement of transmission, Surveillance"
Field evaluation of the CareStart? glucose-6-Phosphate dehydrogenase deficiency screening test,http://www.malariaeradication.org/mesa-track/field-evaluation-carestart%E2%84%A2-glucose-6-phosphate-dehydrogenase-deficiency-screening-test-0,Project,Jan-13,Sep-13,Southeast Asia,$101 173,President's Malaria Initiative (PMI),,"Centers for Disease Control and Prevention (CDC), USA",Malaria Consortium,Arantxa Roca-Feltrer,"Centers for Disease Control and Prevention (CDC), USA",,To evaluate the CareStart Glucose-6-Phosphate Dehydrogenase Deficiency Screening Test,Operational research,P. vivax
Prevalence of glucose-6-phosphate dehydrogenase deficiency in Ethiopia,http://www.malariaeradication.org/mesa-track/prevalence-glucose-6-phosphate-dehydrogenase-deficiency-ethiopia-0,Project,Sep-13,Sep-14,Ethiopia,$90 000,President's Malaria Initiative (PMI),,"Centers for Disease Control and Prevention (CDC), USA",Ethiopian Public Health Institute (EPHI) Ethiopia ,Ashenafi Assefa,"Centers for Disease Control and Prevention (CDC), USA",,To determine the prevalence of glucose-6-phosphate dehydrogenase deficiency in Ethiopia,"Epidemiology, Operational research",P. vivax
Current prevalence of malaria detectable among pregnant women registering for ANC in 6 districts in Rwanda,http://www.malariaeradication.org/mesa-track/current-prevalence-malaria-detectable-among-pregnant-women-registering-anc-6-districts-0,Project,Mar-11,Dec-12,Rwanda,$250 000,President's Malaria Initiative (PMI),,National Malaria Control Programme (NMCP) Rwanda,"Centers for Disease Control and Prevention (CDC), USA",Jon Eric Tongren,National Malaria Control Programme (NMCP) Rwanda,,To determine the current prevalence of malaria detectable among pregnant women registering for ANC in 6 districts in Rwanda and to gather the evidence for developing and implementing a new malaria in pregnancy strategy in the context of reducing malaria prevalence,"Epidemiology, Operational research","Measurement of transmission, Vulnerable populations"
Use of serology to validate health facility-based data for prioritizing IRS in the central highlands of Madagascar,http://www.malariaeradication.org/mesa-track/use-serology-validate-health-facility-based-data-prioritizing-irs-central-highlands-0,Project,May-14,Feb-15,Madagascar,$280 000,President's Malaria Initiative (PMI),,,"Institut Pasteur de Madagascar (IPM), Centers for Disease Control and Prevention (CDC), USA","Laura Steinhardt, Ines Vigan-Wolmas",,,"The primary objective of this protocol is to identify the simplest and most cost-effective methods for characterizing transmission intensity in Madagascar for the purposes of IRS stratification.
We will use school-based malaria serology surveys as a gold standard to validate the recently implemented approach of using health facility-based and routinely reported malaria incidence data to prioritize communes for focalized IRS, in addition to evaluating the performance of several additional potential measures of transmission intensity.","Economics, Entomology, Operational research","Foci, Impact of interventions, Measurement of transmission"
Integrated vector management: Interaction of larval control and Indoor Residual Spraying on Anopheles gambiae density and vectorial capacity for human malaria,http://www.malariaeradication.org/mesa-track/integrated-vector-management-interaction-larval-control-and-indoor-residual-spraying-0,Project,,,,$110 000,President's Malaria Initiative (PMI),,,"Malaria Research and Training Center (MRTC),  University of Bamako, Mali","Mamadou Coulibaly , Ellen Dotson ",,,Determine the added benefit to larviciding water sources surrounding sprayed houses in a subset of villages under IRS control.,"Entomology, Operational research","Impact of interventions, Tools for elimination"
IRS and LLIN: Integration of methods and insecticide mode of actions for control of African malaria vector mosquitoes,http://www.malariaeradication.org/mesa-track/irs-and-llin-integration-methods-and-insecticide-mode-actions-control-african-malaria-0,Project,2007,2010,"Tanzania, United Republic of",$260 000,President's Malaria Initiative (PMI),,"Centers for Disease Control and Prevention (CDC), USA, Uniformed Services University of the Health Sciences (USUHS), USA","Ifakara Health Institute (IHI), Swiss Tropical and Public Health Institute (Swiss TPH) ",Sarah J. Moore,"Centers for Disease Control and Prevention (CDC), USA, Uniformed Services University of the Health Sciences (USUHS), USA",,"To study the behavior of African mosquito vectors exposed to insecticides used in IRS and ITNs in order to determine the mode of action of insecticides, to determine the efficacy of IRS and LLINs related to modes of action, and to quantify changes in mosquito behavior associated with insecticide resistance.",Entomology,"Impact of interventions, Insecticide resistance, Tools for elimination"
Development of a pilot dry season vector control strategy in Mali,http://www.malariaeradication.org/mesa-track/development-pilot-dry-season-vector-control-strategy-mali-0,Project,May-09,Dec-09,Mali,$301 000,President's Malaria Initiative (PMI),,"Malaria Research and Training Center (MRTC),  University of Bamako, Mali","Centers for Disease Control and Prevention (CDC), USA","Nafomon Sogoba , Ellen Dotson , Ray Beach","Malaria Research and Training Center (MRTC),  University of Bamako, Mali",,"To characterize and monitor malaria transmission parameters to provide baseline information on entomological parameters of malaria transmission
To perform selective IRS during the dry season in hamlets spanning the Niger River between Kirina and Kenieroba
To assess the impact of IRS on malaria transmission by monitoring entomological parameters of malaria transmission, after performing the selective IRS, in threes set of hamlets and inland villages
","Entomology, Epidemiology","Impact of interventions, Measurement of transmission, Tools for elimination"
The combined use of indoor residual spraying (IRS) and long-lasting insecticidal nets (LLINs) for malaria reduction in endemic rural Tanzania,http://www.malariaeradication.org/mesa-track/combined-use-indoor-residual-spraying-irs-and-long-lasting-insecticidal-nets-llins-0,Project,Jul-10,Feb-14,"Tanzania, United Republic of",$1 600 000,President's Malaria Initiative (PMI),,,"London School of Hygiene & Tropical Medicine (LSHTM), National Institute for Medical Research (NIMR), Tanzania, Kilimanjaro Christian Medical University College, Tanzania","Mark Rowland , William N. Kisinza, Franklin Mosha ",,,The aim of this research is to determine whether it is necessary to maintain IRS once malaria transmission has been reduced or whether following the scaling-up of LLINs the IRS can be withdrawn and low transmission rates can be maintained equally well with LLINs alone.,"Entomology, Operational research","Impact of interventions, Tools for elimination"
"Prevalence of Plasmodium falciparum parasitemia and anemia in children under-five years of age at baseline and following annual vs. biannual indoor residual spraying (IRS) in Bunkpurugu-Yunyoo district, northern Ghana",http://www.malariaeradication.org/mesa-track/prevalence-plasmodium-falciparum-parasitemia-and-anemia-children-under-five-years-age,Project,Apr-11,Apr-13,Ghana,$305 000,President's Malaria Initiative (PMI),,,"Centers for Disease Control and Prevention (CDC), USA","Paul Psychas, Achuyt Bhattarai",,,"To assess the prevalence of Plasmodium falciparum parasitemia and anemia in children underfive years of age at baseline and following annual vs. biannual indoor residual spraying (IRS) in Bunkpurugu-Yunyoo district, northern Ghana","Entomology, Operational research","Impact of interventions, Tools for elimination"
Insecticide-treated net effectiveness in a setting of significant pyrethroid resistance: an observational cohort study of malaria incidence in children in Malawi,http://www.malariaeradication.org/mesa-track/insecticide-treated-net-effectiveness-setting-significant-pyrethroid-resistance-0,Project,Jan-12,Dec-13,Malawi,$400 000,President's Malaria Initiative (PMI),,"College of medicine, University of Malawi (UNIMA), Malawi","Centers for Disease Control and Prevention (CDC), USA","John E Gimnig, Kim Lindblade","College of medicine, University of Malawi (UNIMA), Malawi",,"There has been increasing concern that the effectiveness of LLINs in reducing malaria transmission may be compromised by increasing resistance of malaria vectors to pyrethroid insecticides. Although several studies have examined the effect of pyrethroid resistance on entomological indicators using experimental huts, few epidemiological studies have assessed LLIN effectiveness for malaria control in settings of pyrethroid resistance, and results have been conflicting.","Entomology, Epidemiology, Operational research","Impact of interventions, Insecticide resistance, Tools for elimination"
Can improved housing provide additional protection against clinical malaria over current best practice?,http://www.malariaeradication.org/mesa-track/can-improved-housing-provide-additional-protection-against-clinical-malaria-over-current,Project,Nov-14,Feb-17,Gambia,,"Medical Research Council (MRC), UK, Department for International Development (DFID), UK, Wellcome Trust",,,Durham University,Steven W. Lindsay,,,"In previous research, we have shown that closing the eaves (the gap between the top of the wall and the roof) and using screening can reduce dramatically the number of malaria mosquitoes entering a house. Here, we want to find out if we can protect children against malaria by modifying houses so that they have a metal roof, closed eaves, screened doors and windows and screened air bricks which allow the warm air to rise out of the house, but not let any mosquitoes indoors. We will see how successful these measures are by looking at how many children become infected in these houses compared to those living in houses with thatched roofs and open eaves. ","Entomology, Operational research","Tools for elimination, Vulnerable populations"
"Insecticide resistance in anopheles mosquito species in Magude district, Southern Mozambique",http://www.malariaeradication.org/mesa-track/insecticide-resistance-anopheles-mosquito-species-magude-district-southern-mozambique,Project,Mar-15,2020,Mozambique,,"La Caixa Foundation, Bill & Melinda Gates Foundation (BMGF)",,National Malaria Control Programme (NMCP) Mozambique,"Barcelona Institute for Global Health (ISGlobal), Manhiça Health Research Centre (CISM)",Krijn Paaijmans,National Malaria Control Programme (NMCP) Mozambique,,To continuously monitor the levels of insecticide resistance in Magude and identify resistance mechanism,Entomology,Insecticide resistance
"Population densities and malaria infection rates for anopheles mosquito species in Magude district, Southern Mozambique",http://www.malariaeradication.org/mesa-track/population-densities-and-malaria-infection-rates-anopheles-mosquito-species-magude,Project,Apr-15,2020,Mozambique,,"La Caixa Foundation, Bill & Melinda Gates Foundation (BMGF)",,National Malaria Control Programme (NMCP) Mozambique,"Barcelona Institute for Global Health (ISGlobal), Manhiça Health Research Centre (CISM)",Krijn Paaijmans,National Malaria Control Programme (NMCP) Mozambique,,"To continuously monitor the intensity of malaria transmission in Magude district, through the estimation of the entomological inoculation rate.",Entomology,Measurement of transmission
"Randomized, Open-Label Trial of Primaquine against Vivax Malaria Relapse in Indonesia",http://www.malariaeradication.org/mesa-track/randomized-open-label-trial-primaquine-against-vivax-malaria-relapse-indonesia,Project,2010,2012,Indonesia,,Medicines for Malaria Venture (MMV),,"Indonesian Army, Eijkman-Oxford Clinical Research Unit (EOCRU), Eijkman Institute for Molecular Biology (EIMB), Indonesia",University of Indonesia,Inge Sutanto,"Indonesian Army, Eijkman-Oxford Clinical Research Unit (EOCRU), Eijkman Institute for Molecular Biology (EIMB), Indonesia",,"1. To measure and compare, using a non-inferior design, the cumulative relapse rate over one year of the two arms relative to the natural relapse rate.
2. To measure the efficacy of the three primaquine combination regimens against relapse, relative to the relapse rate of the artesunate alone regimen.  
 ",Product development & clinical research,"P. vivax, Tools for elimination"
Radical Cure for Vivax Malaria in Indonesia ,http://www.malariaeradication.org/mesa-track/radical-cure-vivax-malaria-indonesia,Project,2012,2014,Indonesia,,Medicines for Malaria Venture (MMV),,"Eijkman-Oxford Clinical Research Unit (EOCRU), Eijkman Institute for Molecular Biology (EIMB), Indonesia, Indonesian Army",University of Indonesia,Erni Juwita Nelwan,"Eijkman-Oxford Clinical Research Unit (EOCRU), Eijkman Institute for Molecular Biology (EIMB), Indonesia, Indonesian Army",,"To obtain independent, high precision estimates of the efficacy of standard primaquine therapy when combined with artesunate pyronaridine (AS-PYR) or dihydroartemisinin piperaquine (DHA-PP) for radical cure of acute malaria caused by P. vivax. ",Product development & clinical research,"Drug-based strategies, P. vivax, Tools for elimination"
CYP2D6 phenotyping in vivax malaria relapsers and non-relapsers in Indonesia,http://www.malariaeradication.org/mesa-track/cyp2d6-phenotyping-vivax-malaria-relapsers-and-non-relapsers-indonesia,Project,,,Indonesia,,Medicines for Malaria Venture (MMV),,"Eijkman-Oxford Clinical Research Unit (EOCRU), Eijkman Institute for Molecular Biology (EIMB), Indonesia, Indonesian Army",University of Indonesia,Rianto Setiabudy,"Eijkman-Oxford Clinical Research Unit (EOCRU), Eijkman Institute for Molecular Biology (EIMB), Indonesia, Indonesian Army",,"1. To examine the frequency of fast-intermediate-slow CYP2D6 metabolism of a single dose of dextromethorphan among patients who relapsed after directly observed primaquine therapy compared to those who did not relapse.
2. To compare the CYP2D6 phenotype with CYP2D6 genotype, to compare primaquine pharmacokinetics by phenotype and genotype status
 ",Basic science,P. vivax
Performance of the G6PD CareStart test in the population,http://www.malariaeradication.org/mesa-track/performance-g6pd-carestart-test-population,Project,,,Indonesia,,PATH,,"Eijkman Institute for Molecular Biology (EIMB), Indonesia",Eijkman-Oxford Clinical Research Unit (EOCRU),J. Kevin Baird,"Eijkman Institute for Molecular Biology (EIMB), Indonesia",,"To determine the analytical performance of the G6PD CareStart test on capillary blood from target populations in three to four end user countries, representing a broad G6PD regional trait diversity",Operational research,P. vivax
Towards malaria elimination: Ethnographic and malaria epidemiological research in Eastern Indonesia,http://www.malariaeradication.org/mesa-track/towards-malaria-elimination-ethnographic-and-malaria-epidemiological-research-eastern,Project,Jul-13,Sep-14,Indonesia,,Wellcome Trust,,"Nuffield Department of Clinical Medicine, University of Oxford, Institute of Human Sciences, University of Oxford, University of Indonesia","Eijkman-Oxford Clinical Research Unit (EOCRU), Eijkman Institute for Molecular Biology (EIMB), Indonesia",J. Kevin Baird,"Nuffield Department of Clinical Medicine, University of Oxford, Institute of Human Sciences, University of Oxford, University of Indonesia",,"To determine treatment-seeking behaviour and equality of access to early detection and treatment averting severe and fatal malaria in rural, impoverished settings of Nusa Tenggara Timur, Indonesia.",Operational research,"P. vivax, Vulnerable populations"
The Asia Research Network Programme,http://www.malariaeradication.org/mesa-track/asia-research-network-programme,Project,Nov-13,Nov-14,Indonesia,,Li Ka Shing Foundation,,,"Eijkman-Oxford Clinical Research Unit (EOCRU), Eijkman Institute for Molecular Biology (EIMB), Indonesia",J. Kevin Baird,,,To validate a laboratory model of human glucose-6-phosphate dehydrogenase deficiency ,Basic science,P. vivax
"Trial for Malaria Vaccine Candidate, PfPEBS (P. Falciparum Pre-Erythrocytic and Blood Stage) (PEBS-POC1)",http://www.malariaeradication.org/mesa-track/trial-malaria-vaccine-candidate-pfpebs-p-falciparum-pre-erythrocytic-and-blood-stage-pebs,Project,May-12,Aug-13,,,"Vac4All , European Commission",,"University Hospital of Lausanne (CHUV), Switzerland , Radboud University Nijmegen, The Netherlands","University Hospital of Lausanne (CHUV), Switzerland ",François Spertini,"University Hospital of Lausanne (CHUV), Switzerland , Radboud University Nijmegen, The Netherlands",,"The PfPEBS molecule has been found to have in vivo and in vitro functional activity against the two stages that are clinically significant for malaria namely the pre-erythrocytic stages (sporozoite and liver stages) and the erythrocytic stages. This study will address the hypothesis that the malaria antigen PfPEBS, manufactured as a synthetic protein and adjuvanted with aluminium hydroxide will be well-tolerated and immunogenic (Phase 1), functionally active against the erythrocytic stages (Phase 1) and efficacious (Phase 2) against the pre-erythrocytic stages in protecting against an artificial malaria challenge using Pf sporozoites in a healthy adult population.
Therefore, the three core objectives are:
1. To demonstrate safety and tolerability of the vaccine candidate.
2. To measure the activity against the asexual blood stage of the parasite which is only indirectly estimated by the functional activity of elicited antibodies in ADCI under in-vitro conditions.
3. To demonstrate efficacy against liver stages by measuring the proportion of subject that are protected following a live sporozoite challenge.
 ",Product development & clinical research,Tools for elimination
A Phase Ia Clinical Trial to Assess the Safety and Immunogenicity of New Plasmodium Falciparum Malaria Vaccine Candidates ChAd63 RH5 alone and with MVA RH5,http://www.malariaeradication.org/mesa-track/phase-ia-clinical-trial-assess-safety-and-immunogenicity-new-plasmodium-falciparum,Project,Aug-14,Sep-15,,,University of Oxford,,"European Commission, University of Southampton",,,"European Commission, University of Southampton",,"This is the first study to test two candidate malaria vaccines in humans. The specific objectives are:
1. To assess two new malaria vaccines, ChAd63 RH5 and MVA RH5, at different doses and alone or in combination.
2. To assess the safety of the vaccines and the extent of the immune response in healthy volunteers.
 ",Product development & clinical research,"Immune correlates of protection, Tools for elimination"
"Study of the Safety and Immunogenicity of Pfs230D1M-EPA/Alhydrogel and Pfs25M-EPA/Alhydrogel, a Transmission Blocking Vaccine Against Plasmodium Falciparum Malaria, in Adults in the U.S. and Mali",http://www.malariaeradication.org/mesa-track/study-safety-and-immunogenicity-pfs230d1m-epaalhydrogel-and-pfs25m-epaalhydrogel,Project,Dec-14,Dec-17,Mali,,"National Institute of Allergy and Infectious Diseases (NIAID), NIH",,"Malaria Research and Training Center (MRTC),  University of Bamako, Mali","National Institute of Allergy and Infectious Diseases (NIAID), NIH",Sara A. Healy,"Malaria Research and Training Center (MRTC),  University of Bamako, Mali",,"Researchers want to test two vaccines that may help decrease malaria infection, namely Pfs25 and Pfs230. These are surface antigens of zygotes and ookinetes in the mosquito stage of Plasmodium falciparum, are the lead candidates for a malaria transmission blocking vaccine. Recombinant Pfs25M and recombinant Pfs230D1M have each been conjugated to Pseudomonas aeruginosa ExoProtein A (EPA) and adjuvanted with Alhydrogel .
The objective of this study is to see if two vaccines (Pfs25M-EPA/Alhydrogel and Pfs230DIM-EPA/Alhydrogel) are safe in humans and cause an immune response that will prevent malaria parasites from correctly growing in the mosquito. This study will be carried out in US adults and subsequently in Malian adults. ",Product development & clinical research,"Immune correlates of protection, Tools for elimination"
Artemether-lumefantrine vs Chloroquine for Uncomplicated P. Vivax Malaria in Malaysia (PRIMAL),https://clinicaltrials.gov/ct2/show/record/NCT02348788,Project,Jan-15,Dec-16,Malaysia,,"Menzies School of Health Research, Australia",,Ministry of Health (MOH) Malaysia,"Menzies School of Health Research, Australia",Timothy William ,Ministry of Health (MOH) Malaysia,"Both artemether-lumefantrine and chloroquine are currently used and recommended by Malaysian Ministry of Health as blood stage treatments for non-severe P. vivax and P. knowlesi malaria. Microscopic misdiagnosis between Plasmodium species remains a large issue in Sabah, Malaysia and elsewhere. Preliminary data in a recently completed RCT evaluating artesunate-mefloquine vs chloroquine for P. vivax showed up to 36% P. vivax recurrence with chloroquine monotherapy by day 28 post treatment without primaquine. Based on these data, blood stage chloroquine treatment failure rates should also be evaluated in the context of standard concurrent (rather than delayed) liver stage primaquine dosing, due to both its potential blood stage synergistic effect in addition to known decreased recurrence rates. As artemether-lumefantrine is one of the current first line Ministry of Health ACTs used in Sabah with a lower adverse event profile compared to artesunate-mefloquine, this was recommended as the more appropriate ACT to evaluate against chloroquine.
",The key objective of this study is to evaluate artemether-lumefantrine for P. vivax malaria in order to facilitate potential policy change to a unified ACT guideline for all malaria species in Sabah (mainly P. vivax and P. knowlesi).,"Operational research, Product development & clinical research",P. vivax
"Randomized Controlled Trial to Evaluate the Safety and Immunogenicity of Recombinant Pichia Pastoris-Expressed P. Falciparum Apical Membrane Antigen 1 (PfAMA-1-FVO[25-545]) Versus Tetanus Toxoid, in Healthy Malian Adult in Bandiagara",http://www.malariaeradication.org/mesa-track/randomized-controlled-trial-evaluate-safety-and-immunogenicity-recombinant-pichia,Project,May-07,Jun-08,Mali,,African Malaria Network Trust (AMANET),,Ministry of Health (MOH) Mali,"Malaria Research and Training Center (MRTC),  University of Bamako, Mali",Mahamadou A. Thera,Ministry of Health (MOH) Mali,,"This will be a randomized controlled trial to evaluate the safety and immunogenicity of recombinant pichia pastoris blood stage malaria candidate vaccine Apical Membrane Antigen 1 (PfAMA-1-FVO[25-545]) versus tetanus toxoid, in healthy Malian adults in Bandiagara, a malaria endemic population. More specifically, the primary objective is:
To evaluate the safety of one dose of AMA-1 (10 µg or 50 µg) adjuvanted with aluminum hydroxide or Montanide ISA 720, or ASO2, given at D0, D28 and D56 in healthy Malian adults.
The secondary objectives are:
To assess the humoral response to the vaccine antigen by measuring the variation in the level of IgG and its ability to recognize the native protein on merozoites.
To assess the cellular immune response by measuring the T-cell proliferation and cytokine production following in vitro stimulation with the vaccine antigen.
",Product development & clinical research,"Immune correlates of protection, Tools for elimination"
Evaluation of Long-Lasting Microbial Larvicides in Reducing Malaria Transmission and Clinical Malaria Incidence,http://www.malariaeradication.org/mesa-track/evaluation-long-lasting-microbial-larvicides-reducing-malaria-transmission-and-clinical,Project,Apr-15,Sep-19,Kenya,,,,Kenya Medical Research Institute (KEMRI),"University of California, Irvine",Guiyun Yan,Kenya Medical Research Institute (KEMRI),,"Rising insecticide resistance and increased outdoor transmission have greatly hampered the effectiveness of insecticide-treated nets (ITN) and indoor residual spraying (IRS) because the current indoor-based interventions do not target the outdoor-biting mosquitoes. Therefore, new supplemental interventions that can tackle outdoor transmission and pyrethroid insecticide resistance are urgently needed.
The central objective of this study is to determine the efficacy and cost-effectiveness of EPA-approved long-lasting microbial larvicides in reducing malaria transmission and clinical malaria incidence in western Kenya highlands","Economics, Entomology, Operational research","Impact of interventions, Tools for elimination"
